imdb_id,title,original_language,vote_average,genre,collection,vote_count
tt0795176,Planet Earth,en,8.8,Documentary,,176.0
tt0068646,The Godfather,en,8.5,"Drama,Crime",The Godfather ,6024.0
tt0111161,The Shawshank Redemption,en,8.5,"Drama,Crime",,8358.0
tt1152758,Dear Zachary: A Letter to a Son About His Father,en,8.4,"Crime,Documentary",,146.0
tt0468569,The Dark Knight,en,8.3,"Drama,Action,Crime,Thriller",The Dark Knight ,12269.0
tt6969946,In a Heartbeat,en,8.3,"Family,Animation,Romance,Comedy",,146.0
tt0071562,The Godfather: Part II,en,8.3,"Drama,Crime",The Godfather ,3418.0
tt0054215,Psycho,en,8.3,"Drama,Horror,Thriller",Psycho ,2405.0
tt0087843,Once Upon a Time in America,en,8.3,"Drama,Crime",,1104.0
tt0137523,Fight Club,en,8.3,Drama,,9678.0
tt3973198,Black Mirror: White Christmas,en,8.3,"Drama,Horror,Mystery,Science Fiction,Thriller,TV Movie",,211.0
tt0108052,Schindler's List,en,8.3,"Drama,History,War",,4436.0
tt0110912,Pulp Fiction,en,8.3,"Thriller,Crime",,8670.0
tt2582802,Whiplash,en,8.3,Drama,,4376.0
tt0073486,One Flew Over the Cuckoo's Nest,en,8.3,Drama,,3001.0
tt0040725,The Red Shoes,en,8.2,"Drama,Romance",,124.0
tt0021749,City Lights,en,8.2,"Comedy,Drama,Romance",,444.0
tt0099685,GoodFellas,en,8.2,"Drama,Crime",,3211.0
tt0080684,The Empire Strikes Back,en,8.2,"Adventure,Action,Science Fiction",Star Wars ,5998.0
tt5613056,Piper,en,8.2,"Family,Animation",,487.0
tt0050825,Paths of Glory,en,8.2,"Drama,War",,565.0
tt3612616,Mommy,en,8.2,Drama,,734.0
tt0120689,The Green Mile,en,8.2,"Fantasy,Drama,Crime",,4166.0
tt0043014,Sunset Boulevard,en,8.2,Drama,,533.0
tt0120586,American History X,en,8.2,Drama,,3120.0
tt0109830,Forrest Gump,en,8.2,"Comedy,Drama,Romance",,8147.0
tt0047396,Rear Window,en,8.2,"Drama,Mystery,Thriller",,1531.0
tt0185906,Band of Brothers,en,8.2,"Action,Drama,War",,725.0
tt0050083,12 Angry Men,en,8.2,Drama,,2130.0
tt0027977,Modern Times,en,8.1,"Drama,Comedy",,881.0
tt0097165,Dead Poets Society,en,8.1,Drama,,2786.0
tt0075314,Taxi Driver,en,8.1,"Crime,Drama",,2632.0
tt0032553,The Great Dictator,en,8.1,Comedy,,756.0
tt3170832,Room,en,8.1,"Drama,Thriller",,2838.0
tt1375666,Inception,en,8.1,"Action,Thriller,Science Fiction,Mystery,Adventure",,14075.0
tt0081505,The Shining,en,8.1,"Horror,Thriller",,3890.0
tt0114814,The Usual Suspects,en,8.1,"Drama,Crime,Thriller",,3334.0
tt0114369,Se7en,en,8.1,"Crime,Mystery,Thriller",,5915.0
tt1865505,Song of the Sea,en,8.1,"Family,Animation,Fantasy",,420.0
tt0051201,Witness for the Prosecution,en,8.1,"Drama,Mystery,Crime",,278.0
tt1935156,Jodorowsky's Dune,en,8.1,"Documentary,Drama",,172.0
tt0102926,The Silence of the Lambs,en,8.1,"Crime,Drama,Thriller",The Hannibal Lecter ,4549.0
tt0053604,The Apartment,en,8.1,"Comedy,Drama,Romance",,498.0
tt0209144,Memento,en,8.1,"Mystery,Thriller",,4168.0
tt0076759,Star Wars,en,8.1,"Adventure,Action,Science Fiction",Star Wars ,6778.0
tt0923752,The King of Kong,en,8.1,Documentary,,148.0
tt1424432,Senna,en,8.1,Documentary,,282.0
tt0253474,The Pianist,en,8.1,"Drama,War",,1927.0
tt0816692,Interstellar,en,8.1,"Adventure,Drama,Science Fiction",,11187.0
tt0015324,"Sherlock, Jr.",en,8.1,"Fantasy,Drama,Comedy,Mystery",,134.0
tt0105236,Reservoir Dogs,en,8.1,"Crime,Thriller",,3821.0
tt0167260,The Lord of the Rings: The Return of the King,en,8.1,"Adventure,Fantasy,Action",The Lord of the Rings ,8226.0
tt0167261,The Lord of the Rings: The Two Towers,en,8.0,"Adventure,Fantasy,Action",The Lord of the Rings ,7641.0
tt1957945,La luna,en,8.0,"Animation,Family",,257.0
tt5895028,13th,en,8.0,Documentary,,133.0
tt0120737,The Lord of the Rings: The Fellowship of the Ring,en,8.0,"Adventure,Fantasy,Action",The Lord of the Rings ,8892.0
tt2278388,The Grand Budapest Hotel,en,8.0,"Comedy,Drama",,4644.0
tt2388725,Paperman,en,8.0,"Animation,Family,Romance",,734.0
tt0770802,Samsara,en,8.0,"Drama,Documentary",,169.0
tt0088763,Back to the Future,en,8.0,"Adventure,Comedy,Science Fiction,Family",Back to the Future ,6239.0
tt0110357,The Lion King,en,8.0,"Family,Animation,Drama",The Lion King ,5520.0
tt0078788,Apocalypse Now,en,8.0,"Drama,War",,2112.0
tt0066921,A Clockwork Orange,en,8.0,"Science Fiction,Drama",,3432.0
tt2515086,One Direction: This Is Us,en,8.0,"Documentary,Music",,209.0
tt3689498,Feast,en,8.0,"Animation,Comedy,Drama,Family",,420.0
tt0038650,It's a Wonderful Life,en,8.0,"Drama,Family,Fantasy",,1103.0
tt0042192,All About Eve,en,8.0,Drama,,367.0
tt0033467,Citizen Kane,en,8.0,"Mystery,Drama",,1244.0
tt0053291,Some Like It Hot,en,8.0,"Comedy,Romance",,835.0
tt0052357,Vertigo,en,8.0,"Mystery,Romance,Thriller",,1162.0
tt3544112,Sing Street,en,8.0,"Romance,Drama,Music",,669.0
tt0482571,The Prestige,en,8.0,"Drama,Mystery,Thriller",,4510.0
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,en,8.0,"Drama,Comedy,War",,1472.0
tt1245104,Presto,en,8.0,"Animation,Family",,371.0
tt2879552,11.22.63,en,8.0,"Drama,History,Thriller",,213.0
tt0012349,The Kid,en,8.0,"Comedy,Drama",,404.0
tt2084970,The Imitation Game,en,8.0,"History,Drama,Thriller,War",,5895.0
tt0036775,Double Indemnity,en,8.0,"Drama,Mystery,Thriller",,425.0
tt0018773,The Circus,en,8.0,"Comedy,Drama",,119.0
tt0017925,The General,en,8.0,"Action,Adventure,Comedy,Drama",,240.0
tt0047296,On the Waterfront,en,8.0,"Crime,Drama",,368.0
tt0103767,Baraka,en,8.0,Documentary,,156.0
tt0086250,Scarface,en,8.0,"Action,Crime,Drama,Thriller",,3017.0
tt3741834,Lion,en,8.0,Drama,,1699.0
tt0045152,Singin' in the Rain,en,7.9,"Comedy,Music,Romance",,747.0
tt2166834,"Batman: The Dark Knight Returns, Part 2",en,7.9,"Action,Animation",Batman: The Dark Knight Returns ,426.0
tt0096257,The Thin Blue Line,en,7.9,"Mystery,Documentary,Crime",,109.0
tt0033045,The Shop Around the Corner,en,7.9,"Comedy,Romance",,107.0
tt0056592,To Kill a Mockingbird,en,7.9,"Crime,Drama",,676.0
tt4044364,Citizenfour,en,7.9,Documentary,,516.0
tt0086190,Return of the Jedi,en,7.9,"Adventure,Action,Science Fiction",Star Wars ,4763.0
tt0041959,The Third Man,en,7.9,"Thriller,Mystery",,431.0
tt0078748,Alien,en,7.9,"Horror,Action,Thriller,Science Fiction",Alien ,4564.0
tt0407887,The Departed,en,7.9,"Drama,Thriller,Crime",,4455.0
tt0093058,Full Metal Jacket,en,7.9,"Drama,War",,2595.0
tt0070735,The Sting,en,7.9,"Comedy,Crime,Drama",The Sting ,639.0
tt0071315,Chinatown,en,7.9,"Crime,Drama,Mystery,Thriller",The Jake Gittes ,939.0
tt0040897,The Treasure of the Sierra Madre,en,7.9,"Action,Adventure,Drama,Western",,285.0
tt0120815,Saving Private Ryan,en,7.9,"Drama,History,War",,5148.0
tt0056687,What Ever Happened to Baby Jane?,en,7.9,"Drama,Horror,Thriller",,210.0
tt0172495,Gladiator,en,7.9,"Action,Drama,Adventure",,5566.0
tt0485947,Mr. Nobody,en,7.9,"Science Fiction,Drama,Romance,Fantasy",,1616.0
tt0469494,There Will Be Blood,en,7.9,Drama,,1581.0
tt0790636,Dallas Buyers Club,en,7.9,"Drama,History",,2973.0
tt1454029,The Help,en,7.9,Drama,,1966.0
tt3553976,Captain Fantastic,en,7.9,"Adventure,Comedy,Drama,Romance",,1569.0
tt0034583,Casablanca,en,7.9,"Drama,Romance",,1462.0
tt1201607,Harry Potter and the Deathly Hallows: Part 2,en,7.9,"Family,Fantasy,Adventure",Harry Potter ,6141.0
tt0062622,2001: A Space Odyssey,en,7.9,"Science Fiction,Mystery,Adventure",The Space Odyssey ,3075.0
tt2545118,Blackfish,en,7.9,Documentary,,456.0
